datetime,count
2011-01-20 00:00:00,11.61
2011-01-20 01:00:00,5.41
2011-01-20 02:00:00,4.09
2011-01-20 03:00:00,3.34
2011-01-20 04:00:00,3.06
2011-01-20 05:00:00,5.98
2011-01-20 06:00:00,35.59
2011-01-20 07:00:00,88.58
2011-01-20 08:00:00,196.16
2011-01-20 09:00:00,119.43
2011-01-20 10:00:00,59.68
2011-01-20 11:00:00,58.29
2011-01-20 12:00:00,83.97
2011-01-20 13:00:00,71.6
2011-01-20 14:00:00,76.95
2011-01-20 15:00:00,75.74
2011-01-20 16:00:00,90.52
2011-01-20 17:00:00,190.47
2011-01-20 18:00:00,175.11
2011-01-20 19:00:00,100.37
2011-01-20 20:00:00,69.3
2011-01-20 21:00:00,48.52
2011-01-20 22:00:00,43.91
2011-01-20 23:00:00,23.82
2011-01-21 00:00:00,14.36
2011-01-21 01:00:00,6.33
2011-01-21 02:00:00,4.94
2011-01-21 03:00:00,2.36
2011-01-21 04:00:00,2.49
2011-01-21 05:00:00,4.03
2011-01-21 06:00:00,32.67
2011-01-21 07:00:00,90.32
2011-01-21 08:00:00,184.32
2011-01-21 09:00:00,124.3
2011-01-21 10:00:00,51.91
2011-01-21 11:00:00,62.93
2011-01-21 12:00:00,70.94
2011-01-21 13:00:00,72.07
2011-01-21 14:00:00,68.38
2011-01-21 15:00:00,66.6
2011-01-21 16:00:00,80.53
2011-01-21 17:00:00,154.42
2011-01-21 18:00:00,150.8
2011-01-21 19:00:00,104.34
2011-01-21 20:00:00,63.16
2011-01-21 21:00:00,42.9
2011-01-21 22:00:00,32.38
2011-01-21 23:00:00,19.93
2011-01-22 00:00:00,24.69
2011-01-22 01:00:00,18.77
2011-01-22 02:00:00,13.77
2011-01-22 03:00:00,6.65
2011-01-22 04:00:00,2.26
2011-01-22 06:00:00,3.61
2011-01-22 07:00:00,16.42
2011-01-22 08:00:00,25.26
2011-01-22 09:00:00,31.83
2011-01-22 10:00:00,51.97
2011-01-22 11:00:00,56.1
2011-01-22 12:00:00,75.59
2011-01-22 13:00:00,79.03
2011-01-22 14:00:00,76.39
2011-01-22 15:00:00,79.32
2011-01-22 16:00:00,77.27
2011-01-22 17:00:00,92.34
2011-01-22 18:00:00,62.75
2011-01-22 19:00:00,41.53
2011-01-22 20:00:00,43.36
2011-01-22 21:00:00,40.38
2011-01-22 22:00:00,27.83
2011-01-22 23:00:00,17.94
2011-01-23 00:00:00,29.43
2011-01-23 01:00:00,24.2
2011-01-23 02:00:00,15.74
2011-01-23 03:00:00,15.78
2011-01-23 05:00:00,2.35
2011-01-23 06:00:00,2.22
2011-01-23 07:00:00,11.57
2011-01-23 08:00:00,17.63
2011-01-23 09:00:00,27.11
2011-01-23 10:00:00,56.04
2011-01-23 11:00:00,62.01
2011-01-23 12:00:00,74.02
2011-01-23 13:00:00,72.11
2011-01-23 14:00:00,73.55
2011-01-23 15:00:00,73.19
2011-01-23 16:00:00,78.28
2011-01-23 17:00:00,77.81
2011-01-23 18:00:00,72.27
2011-01-23 19:00:00,48.83
2011-01-23 20:00:00,32.28
2011-01-23 21:00:00,31.21
2011-01-23 22:00:00,19.68
2011-01-23 23:00:00,14.29
2011-01-24 00:00:00,10.58
2011-01-24 01:00:00,4.61
2011-01-24 03:00:00,1.94
2011-01-24 04:00:00,2.44
2011-01-24 05:00:00,5.85
2011-01-24 06:00:00,30.51
2011-01-24 07:00:00,76.68
2011-01-24 08:00:00,174.63
2011-01-24 09:00:00,101.43
2011-01-24 10:00:00,50.79
2011-01-24 11:00:00,46.34
2011-01-24 12:00:00,56.44
2011-01-24 13:00:00,53.95
2011-01-24 14:00:00,49.21
2011-01-24 15:00:00,53.21
2011-01-24 16:00:00,67.82
2011-01-24 17:00:00,152.04
2011-01-24 18:00:00,149.93
2011-01-24 19:00:00,96.39
2011-01-24 20:00:00,61.36
2011-01-24 21:00:00,42.27
2011-01-24 22:00:00,24.08
2011-01-24 23:00:00,18.89
2011-01-25 00:00:00,8.59
2011-01-25 01:00:00,3.26
2011-01-25 02:00:00,2.13
2011-01-25 04:00:00,1.79
2011-01-25 05:00:00,4.69
2011-01-25 06:00:00,33.64
2011-01-25 07:00:00,76.03
2011-01-25 08:00:00,152.7
2011-01-25 09:00:00,114.51
2011-01-25 10:00:00,57.82
2011-01-25 11:00:00,60.63
2011-01-25 12:00:00,73.14
2011-01-25 13:00:00,73.32
2011-01-25 14:00:00,74.53
2011-01-25 15:00:00,76.27
2011-01-25 16:00:00,92.86
2011-01-25 17:00:00,193.83
2011-01-25 18:00:00,181.18
2011-01-25 19:00:00,112.71
2011-01-25 20:00:00,69.61
2011-01-25 21:00:00,48.05
2011-01-25 22:00:00,36.32
2011-01-25 23:00:00,19.3
2011-01-26 00:00:00,8.25
2011-01-26 01:00:00,5.33
2011-01-26 02:00:00,3.48
2011-01-26 05:00:00,3.19
2011-01-26 06:00:00,24.25
2011-01-26 07:00:00,64.45
2011-01-26 08:00:00,127.42
2011-01-26 09:00:00,81.39
2011-01-26 10:00:00,42.26
2011-01-26 11:00:00,39.49
2011-01-26 12:00:00,35.51
2011-01-26 13:00:00,36.24
2011-01-26 14:00:00,35.41
